iter	MultiClass
0	2.092575095
1	2.042735939
2	2.022384598
3	1.946025836
4	1.888912324
5	1.887644126
6	1.810528574
7	1.789443778
8	1.786626457
9	1.786058942
10	1.762580057
11	1.721420229
12	1.694729273
13	1.679811315
14	1.58531091
15	1.540602873
16	1.511708703
17	1.461117324
18	1.46110332
19	1.418766765
20	1.418752326
21	1.410861064
22	1.39661517
23	1.396605801
24	1.345366199
25	1.33877491
26	1.327931525
27	1.320571182
28	1.267031471
29	1.240456489
30	1.240443171
31	1.219412066
32	1.183939825
33	1.171394233
34	1.165456099
35	1.126771158
36	1.120253373
37	1.119078542
38	1.080664636
39	1.060854398
40	1.033766748
41	0.9971282781
42	0.9902460253
43	0.9589883853
44	0.9588066661
45	0.9441128383
46	0.9355731671
47	0.9179668574
48	0.9035138868
49	0.8931385661
50	0.8791035065
51	0.8642398873
52	0.8410906272
53	0.8382567024
54	0.8159410268
55	0.7998761215
56	0.7835616935
57	0.768391703
58	0.7527269013
59	0.7527080056
60	0.7364136161
61	0.7302532276
62	0.7203066349
63	0.7100969816
64	0.7080239543
65	0.6968718069
66	0.6968543564
67	0.6879064145
68	0.6836509183
69	0.6749248347
70	0.6616054466
71	0.6484144642
72	0.648391123
73	0.6462219147
74	0.6307174144
75	0.6227736788
76	0.6219961712
77	0.6219760217
78	0.6189419703
79	0.6130632878
80	0.6109281962
81	0.5966062586
82	0.5910978651
83	0.5857498946
84	0.5790276703
85	0.5687260583
86	0.5588996475
87	0.5566933095
88	0.5480649514
89	0.5469502573
90	0.5423946004
91	0.5315337038
92	0.5290334665
93	0.5233729119
94	0.5125377444
95	0.5019394683
96	0.4942651948
97	0.4902602259
98	0.487666019
99	0.4800537143
100	0.4727070993
101	0.4656287013
102	0.4582678552
103	0.4500114546
104	0.4470847864
105	0.4374068119
106	0.430237331
107	0.4267844656
108	0.4263495456
109	0.4220157167
110	0.4175024865
111	0.4174538182
112	0.4130386434
113	0.4064493248
114	0.3988016304
115	0.3956112923
116	0.3900585404
117	0.3888042036
118	0.3881697213
119	0.3854676083
120	0.3854208384
121	0.3786736156
122	0.3748906988
123	0.3745854835
124	0.3740510349
125	0.3687963995
126	0.3647174266
127	0.3603153111
128	0.3536814462
129	0.3506456404
130	0.3460115556
131	0.3431052984
132	0.3380356426
133	0.33569911
134	0.3304721322
135	0.3246266185
136	0.3211665742
137	0.3190305866
138	0.3157568094
139	0.3111755728
140	0.3089139323
141	0.3036726645
142	0.3015440773
143	0.2980536989
144	0.2944700804
145	0.2922634466
146	0.2909985773
147	0.2877891259
148	0.2849705633
149	0.2828472037
150	0.2802310751
151	0.276812755
152	0.2745111793
153	0.2728911498
154	0.2703909128
155	0.2674677623
156	0.264334016
157	0.2626047853
158	0.2599043895
159	0.2586289424
160	0.2548008631
161	0.2525416702
162	0.2498258428
163	0.2472810563
164	0.2447644895
165	0.2431763747
166	0.2409862221
167	0.2378131848
168	0.2372485719
169	0.2354880512
170	0.2320914603
171	0.2307302474
172	0.2286239768
173	0.2251644669
174	0.2224701885
175	0.2207273544
176	0.2188313795
177	0.2173183833
178	0.2141634111
179	0.2122412032
180	0.2101207265
181	0.2086160948
182	0.2073950244
183	0.2064910766
184	0.2046525685
185	0.2027406863
186	0.2003634712
187	0.1985466135
188	0.1964515359
189	0.1947071244
190	0.1941732384
191	0.1918224718
192	0.1906666086
193	0.1897275035
194	0.1888859831
195	0.1870360912
196	0.1853851636
197	0.183736088
198	0.1823638111
199	0.1808998657
200	0.1798042867
201	0.1781784163
202	0.1763574343
203	0.1745822186
204	0.1730566744
205	0.1720377845
206	0.1711421075
207	0.1705703685
208	0.1690404569
209	0.1683095974
210	0.167218737
211	0.1666111876
212	0.1656444222
213	0.1642008328
214	0.1628601094
215	0.1616687849
216	0.1602424189
217	0.1590598009
218	0.1582250761
219	0.1572293138
220	0.1561931239
221	0.1553048789
222	0.1545249552
223	0.153392138
224	0.1525584374
225	0.1517209473
226	0.1513849066
227	0.1501017108
228	0.1489861253
229	0.1481959525
230	0.1473620686
231	0.1467383727
232	0.1458761787
233	0.1452596968
234	0.1443884331
235	0.1430096044
236	0.1424321063
237	0.1417651052
238	0.1409647905
239	0.1398144333
240	0.1387637362
