iter	Passed	Remaining
0	69	139576
1	208	207794
2	248	165263
3	345	172488
4	541	216054
5	707	235019
6	813	231641
7	1006	250573
8	1171	259233
9	1196	238159
10	1287	232891
11	1532	253878
12	1710	261451
13	1760	249740
14	1831	242303
15	1955	242539
16	2130	248544
17	2354	259283
18	2493	259979
19	2581	255544
20	2726	256932
21	2749	247235
22	2791	239925
23	2807	231153
24	2892	228489
25	3054	231908
26	3113	227527
27	3209	226056
28	3296	224066
29	3490	229224
30	3619	229907
31	3655	224819
32	3765	224428
33	3905	225804
34	3941	221278
35	4031	219921
36	4178	221683
37	4204	217072
38	4285	215480
39	4468	218959
40	4695	224351
41	4920	229405
42	5160	234851
43	5266	234107
44	5427	235786
45	5467	232248
46	5511	229036
47	5559	226068
48	5650	224983
49	5719	223073
50	5831	222849
51	5965	223471
52	6165	226497
53	6326	227974
54	6417	226960
55	6649	230833
56	6832	232892
57	6979	233697
58	7183	236326
59	7252	234493
60	7458	237069
61	7640	238818
62	7787	239436
63	8004	242144
64	8063	240054
65	8126	238129
66	8234	237577
67	8338	236898
68	8592	240462
69	8831	243498
70	9110	247514
71	9343	250189
72	9487	250440
73	9503	247359
74	9591	246179
75	9784	247713
76	9876	246643
77	9896	243855
78	9920	241228
79	10035	240859
80	10184	241274
81	10282	240501
82	10521	243018
83	10719	244501
84	10831	244031
85	11052	245978
86	11272	247869
87	11464	249095
88	11550	248012
89	11731	248970
90	11843	248451
91	12111	251186
92	12287	251956
93	12422	251892
94	12663	253930
95	12920	256251
96	13159	258163
97	13450	261045
98	13655	262218
99	13854	263238
100	14135	265776
101	14363	267281
102	14611	269107
103	14835	270455
104	15093	272395
105	15318	273717
106	15556	275223
107	15799	276784
108	15974	277136
109	16115	276893
110	16337	278033
111	16507	278273
112	16608	277354
113	16832	278469
114	17059	279635
115	17279	280648
116	17518	281940
117	17794	283806
118	17949	283715
119	18032	282507
120	18169	282155
121	18256	281035
122	18525	282694
123	18690	282766
124	18716	280754
125	18810	279765
126	19062	281137
127	19323	282603
128	19574	283908
129	19900	286263
130	20130	287201
131	20368	288238
132	20637	289700
133	20870	290633
134	21129	291900
135	21353	292672
136	21608	293842
137	21826	294497
138	22054	295275
139	22227	295302
140	22395	295265
141	22622	296005
142	22892	297280
143	23097	297695
144	23318	298319
145	23592	299593
146	23825	300325
147	24071	301221
148	24302	301911
149	24595	303342
150	24851	304312
151	25085	304992
152	25333	305827
153	25560	306398
154	25844	307632
155	26078	308264
156	26313	308886
157	26523	309214
158	26744	309662
159	26992	310409
160	27221	310937
161	27524	312285
162	27765	312909
163	28091	314488
164	28319	314950
165	28613	316126
166	28874	316928
167	29097	317296
168	29317	317636
169	29620	318858
170	29860	319381
171	30151	320449
172	30378	320819
173	30598	321104
174	30875	321989
175	31146	322792
176	31368	323080
177	31617	323630
178	31862	324147
179	32059	324158
180	32322	324832
181	32538	325029
182	32746	325137
183	32968	325383
184	33162	325353
185	33394	325686
186	33636	326107
187	33825	326023
188	34030	326080
189	34259	326369
190	34533	327078
191	34797	327678
192	35022	327902
193	35242	328080
194	35476	328384
195	35711	328691
196	36028	329742
197	36115	328690
198	36547	330761
